time,redshift,iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
Gyr,NoUnit(),NoUnit(),Msol,kpc*a,kpc*a,kpc*a,km s**-1*a,km s**-1*a,km s**-1*a,log(Msol kpc**-3),log(K),log(NoUnit())
0.45,10.43,240674,212084.13,-12.87,5.05,6.27,5.59,-2.50,-1.53,4.16,3.97,-26.00
0.47,9.99,240674,212084.13,-13.30,4.39,8.23,6.08,-1.74,-2.11,4.10,3.98,-23.47
0.64,7.98,240674,212084.13,-5.71,16.99,-2.02,2.10,-7.68,1.34,3.90,4.04,-17.75
0.88,6.29,240674,212084.13,-14.07,-2.84,20.96,6.64,-0.19,-7.53,3.76,4.10,-15.06
0.94,5.99,240674,212084.13,-7.63,-3.92,25.72,2.15,1.28,-6.42,3.74,4.11,-14.51
1.31,4.58,240674,212084.13,8.91,14.56,31.94,-0.43,-6.36,-9.76,3.70,4.26,-10.78
1.74,3.61,240674,212084.13,32.17,23.69,23.58,-10.02,0.96,-15.14,4.38,4.46,-4.89
2.17,2.98,240674,212084.32,16.50,-6.27,49.92,4.62,3.51,-20.48,5.25,4.27,-3.94
2.60,2.52,240674,216801.34,-9.85,-14.92,57.17,18.45,-10.57,-9.21,6.04,3.98,-2.61
3.03,2.17,240674,218071.57,-17.70,51.89,34.28,2.24,-51.50,-29.88,6.06,3.98,-2.60
3.29,2.00,240674,155886.00,-9.22,56.02,-6.52,-2.00,-50.32,13.16,4.98,4.31,-2.41
3.46,1.90,240674,156500.22,49.46,12.23,19.22,-19.06,26.72,-42.09,6.18,3.99,-2.47
3.89,1.67,240674,156889.05,-42.18,-6.53,27.12,25.87,7.06,-43.97,5.32,4.15,-2.58
4.32,1.48,240674,157116.45,14.14,-22.72,18.82,-39.89,7.53,-73.30,5.46,4.09,-2.68
4.76,1.32,240674,157150.02,-1.89,-3.28,-12.78,-23.22,73.77,-21.17,4.64,5.52,-2.38
5.19,1.18,240674,157166.90,-30.93,12.83,-19.46,-46.33,39.85,-24.52,4.48,5.53,-2.34
5.62,1.06,240674,157167.15,-45.31,29.66,-25.49,9.11,41.94,-14.04,4.06,5.48,-2.32
5.87,1.00,240674,157167.15,-49.83,39.63,-27.35,19.67,44.83,-8.90,3.78,5.30,-2.32
6.05,0.96,240674,157167.15,-45.97,51.15,-28.35,39.54,37.81,22.12,3.95,5.36,-2.33
6.48,0.86,240674,157199.33,-51.91,56.22,-9.68,44.89,10.48,15.95,4.06,4.92,-2.43
6.91,0.77,240674,157252.97,-45.61,51.08,-16.27,48.52,-29.56,-34.93,4.18,4.73,-2.45
7.34,0.70,240674,157255.76,8.95,50.64,-21.99,-81.53,-5.51,28.20,4.67,4.31,-2.47
7.77,0.62,240674,157256.34,-11.68,40.91,-3.40,-60.27,-39.16,55.88,4.72,4.30,-2.49
8.20,0.56,240674,157259.06,-15.46,17.15,12.81,30.84,-83.40,53.68,5.32,4.08,-2.43
8.61,0.50,240674,157791.71,-5.64,2.75,7.82,-13.06,-0.18,-82.69,5.99,4.07,-1.98
8.63,0.50,240674,157797.10,-3.09,5.21,6.45,-5.93,-6.78,-74.87,6.17,4.01,-1.97
9.06,0.44,240674,169446.68,-1.12,2.20,-1.13,-86.11,-11.53,27.25,6.05,6.31,-1.68
9.49,0.39,240674,172188.03,-1.98,-3.47,-23.45,-34.85,26.05,-7.18,4.56,6.06,-1.65
9.92,0.34,240674,172279.73,-10.52,-11.61,-9.95,-19.74,-3.14,50.17,4.74,6.13,-1.75
10.79,0.25,240674,172660.86,12.32,8.35,5.79,-10.07,84.19,-44.98,5.14,6.05,-2.00
11.22,0.21,240674,172729.43,-8.19,3.10,-7.17,2.68,-137.02,-5.53,5.59,5.91,-2.05
11.647,0.168,31798735,55639.227,4.237,-2.187,0.562,81.835,186.235,23.320,0,0,0.026
12.078,0.131,31798735,46789.249,4.408,-0.877,-0.302,94.896,217.066,17.419,0,0,0.026
12.509,0.096,31798735,44900.988,-4.029,1.980,-0.002,-129.270,-172.484,-42.799,0,0,0.026
12.509,0.096,31982570,51199.721,-0.265,-3.764,-0.270,225.847,-17.332,-12.406,0,0,0.033
12.939,0.062,31798735,43841.140,-2.753,2.477,0.461,-201.304,-207.190,-2.695,0,0,0.026
12.939,0.062,31982570,46286.198,4.377,3.169,0.269,-140.742,115.336,-13.559,0,0,0.033
13.370,0.031,31798735,43117.046,-3.451,3.610,-0.117,-149.866,-106.971,-50.126,0,0,0.026
13.370,0.031,31982570,44642.482,1.963,0.594,-0.117,-262.907,245.434,-7.018,0,0,0.033
13.370,0.031,32124923,48278.570,5.796,-2.331,-0.087,30.872,240.159,53.177,0,0,0.031
13.370,0.031,32133473,48876.019,0.463,4.214,0.341,-241.705,61.685,-30.065,0,0,0.033
13.801,0.000,31798735,42573.425,-0.997,-2.478,0.274,233.657,-229.440,-29.095,0,0,0.026
13.801,0.000,31982570,43670.960,3.783,1.460,0.082,-69.777,147.857,-12.271,0,0,0.033
13.801,0.000,32124923,45516.035,4.341,1.631,0.220,-40.408,302.984,60.024,0,0,0.031
13.801,0.000,32133473,45717.732,-1.664,6.418,-0.513,-197.569,-39.984,-0.134,0,0,0.033
